"2018-02-19 12:19:52 [main] INFO  com.sysco.ordermanager.OrderManagerApplication - Starting OrderManagerApplication on Sysco with PID 16284 (started by heshang in /home/heshang/IdeaProjects/Untitled Folder/ordermanager)
""2018-02-19 12:19:52 [main] INFO  com.sysco.ordermanager.OrderManagerApplication - No active profile set, falling back to default profiles: default
""2018-02-19 12:19:53 [main] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3af9c5b7: startup date [Mon Feb 19 12:19:53 IST 2018]; root of context hierarchy
""2018-02-19 12:19:54 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4a34e613] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-02-19 12:19:54 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2018-02-19 12:19:54 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
""2018-02-19 12:19:54 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.27
""2018-02-19 12:19:54 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2018-02-19 12:19:55 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2018-02-19 12:19:55 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2018-02-19 12:19:55 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2018-02-19 12:19:55 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
""2018-02-19 12:19:55 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2018-02-19 12:19:55 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
""2018-02-19 12:19:55 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2018-02-19 12:19:55 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
""2018-02-19 12:19:56 [main] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
""2018-02-19 12:19:56 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2018-02-19 12:19:57 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6fd97fd1, org.springframework.security.web.context.SecurityContextPersistenceFilter@191774d6, org.springframework.security.web.header.HeaderWriterFilter@5521407f, org.springframework.web.filter.CorsFilter@12c78f36, org.springframework.security.web.authentication.logout.LogoutFilter@72d16d6, com.sysco.ordermanager.security.JWTAuthenticationFilter@7bdb4d69, com.sysco.ordermanager.security.JWTAuthorizationFilter@129c760d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61becbcf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77b27b57, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@361fa478, org.springframework.security.web.session.SessionManagementFilter@3b8b5b40, org.springframework.security.web.access.ExceptionTranslationFilter@6f921e32, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54970127]
""2018-02-19 12:19:58 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2018-02-19 12:19:58 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2018-02-19 12:19:58 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
""2018-02-19 12:19:58 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
